date,euro,japan,canada,uk,mexico,india,switzerland,thailand,denmark,australia
10/30/2006,0.062888,-0.19575,0.44603,-0.30006,0.51704,-0.3779,-0.064041,0.08171,0.044381,-0.091045
10/31/2006,-0.43939,-0.47822,-0.071231,-0.30964,0.046449,0,-0.51381,-0.054466,-0.41899,-0.66084
11/1/2006,0.015659,0.16251,0.76309,-0.036673,-0.15336,-0.24529,0.072414,-0.1363,0.029129,-0.11617
11/2/2006,-0.070447,0.093965,0.42339,0.015716,0.78755,0.066957,0.080399,0.027274,-0.073696,0.142
11/3/2006,0.58858,0.79939,-0.62691,0.40421,-0.30965,-0.13396,0.84828,0.10902,0.6068,0.54404
11/6/2006,-0.078678,0.28758,0,0.23171,0.2127,0.089326,0.13538,-0.027244,-0.066483,-0.10386
11/7/2006,-0.71314,-0.81412,-0.12408,-0.6883,-0.12941,-0.4026,-0.84712,-0.16362,-0.70505,-0.68533
11/8/2006,0.24237,0.25512,-0.0088688,0.21491,0.50745,-0.067257,0.2725,0.10911,0.22643,0.68533
11/9/2006,-0.46857,0.15276,0.14181,-0.052461,-0.029454,-0.29197,-0.58599,-0.10911,-0.48264,0.24683
11/10/2006,-0.20237,-0.38234,0.13276,-0.27758,0.4519,0.20222,-0.26603,-0.16389,-0.16542,0.1953
11/13/2006,0.39734,0.56874,0.62602,0.50336,0.10991,0.62654,0.42692,-0.16416,0.39587,0.57509
11/14/2006,-0.015612,-0.35614,0.14054,0.41085,-0.53696,0.48954,0.064283,-0.32913,-0.010307,-0.35329
11/15/2006,0.031226,0.2884,-0.035115,0.33308,-0.050632,0.46507,0.18458,0.30174,0.046374,0.16995
11/16/2006,0,0.050809,0.10531,-0.10057,-0.087515,-0.97692,-0.040098,0,-0.024043,-0.52199
11/17/2006,-0.11705,-0.33072,0.49871,-0.17971,1.068,-0.1563,-0.19269,0.1642,-0.10827,-0.03904
11/20/2006,0.10143,0.36458,0.12211,-0.14248,-0.072973,0.31236,-0.072356,0.082001,0.08078,0.052056
11/21/2006,-0.10923,-0.1355,0.017432,-0.11068,0.34888,-0.26768,-0.12071,-0.082001,-0.14442,-0.14309
